"global_step","Group: general-distillation - _step","Group: general-distillation - _step__MIN","Group: general-distillation - _step__MAX","Group: general-distillation - rep_loss","Group: general-distillation - rep_loss__MIN","Group: general-distillation - rep_loss__MAX","Group: general-distillation-attn - _step","Group: general-distillation-attn - _step__MIN","Group: general-distillation-attn - _step__MAX","Group: general-distillation-attn - rep_loss","Group: general-distillation-attn - rep_loss__MIN","Group: general-distillation-attn - rep_loss__MAX","Group: general-distillation-rep - _step","Group: general-distillation-rep - _step__MIN","Group: general-distillation-rep - _step__MAX","Group: general-distillation-rep - rep_loss","Group: general-distillation-rep - rep_loss__MIN","Group: general-distillation-rep - rep_loss__MAX"
"21","167.5","160","175","90.36901169870933","90.31470937266988","90.42506231580462","167.5","160","175","91.52844718455019","91.52788380679921","91.52910944545305","167.5","160","175","90.3609394707666","90.3063006930881","90.41734057381039"
"23","183.5","176","191","90.12563523515024","90.0663159522313","90.18640008180037","183.5","176","191","91.52696828766027","91.52651468912761","91.52733833173548","183.5","176","191","90.11607706707811","90.05640379504808","90.17719855515853"
"25","199.5","192","207","89.86209142179395","89.79861472256212","89.92695501327515","199.5","192","207","91.52735238014402","91.5269997067948","91.52780121001439","199.5","192","207","89.85107618773603","89.7872607863093","89.91627849578857"
"27","215.5","208","223","89.58054009679206","89.5134375484731","89.6498069409971","215.5","208","223","91.52756836302","91.52686857791751","91.5283509666221","215.5","208","223","89.56814057493911","89.50072900827566","89.6377245231911"
"29","231.5","224","239","89.28011792349284","89.20821331239195","89.35307257750938","231.5","224","239","91.52749400269533","91.5261742386788","91.52843647989734","231.5","224","239","89.26642843423762","89.19425497672255","89.33965572817573"
"31","247.5","240","255","88.96120282182193","88.88530744638462","89.03860152152276","247.5","240","255","91.52532005937032","91.52464255538641","91.52614898066366","247.5","240","255","88.94640061211874","88.87027416490528","89.02402960869574"
"33","263.5","256","271","88.62681298815819","88.54633981834678","88.70868227698587","263.5","256","271","91.52397746387103","91.52358371129336","91.52434321812221","263.5","256","271","88.6111020406818","88.53041922497266","88.69317089427601"
"35","279.5","272","287","88.27311356304696","88.18944485871688","88.35865983963012","279.5","272","287","91.52301291521266","91.522446819803","91.52328546476869","279.5","272","287","88.25669980867887","88.17291789179264","88.34237218584333"
"37","295.5","288","303","87.90534223788816","87.81688299289056","87.99500953828966","295.5","288","303","91.52182040942604","91.52151640056566","91.52214299959202","295.5","288","303","87.88842548104304","87.79985321648235","87.97821340045414"
"39","311.5","304","319","87.51998817877788","87.42787522627901","87.61217558689607","311.5","304","319","91.52110351236593","91.5206381793242","91.5215169438776","311.5","304","319","87.50265412037544","87.41044857878826","87.59491849556947"
"41","327.5","320","335","87.12048483558739","87.02596264766687","87.2162212162483","327.5","320","335","91.52113955563097","91.52086017707049","91.52139688898494","327.5","320","335","87.10281088928413","87.0082115366633","87.19862243605823"
"43","343.5","336","351","86.70918468669116","86.61184918117388","86.80782260451205","343.5","336","351","91.52065662775075","91.52029981751373","91.52119768123708","343.5","336","351","86.69114997107891","86.59372859862587","86.78987865669782"
"45","359.5","352","367","86.28431846860195","86.18424143888512","86.38480291366577","359.5","352","367","91.5221189689587","91.52168031457353","91.52266593785167","359.5","352","367","86.26579864150904","86.16560056517724","86.36640503141615"
"47","375.5","368","383","85.85164711437183","85.74972009969659","85.95489347741959","375.5","368","383","91.52298120953336","91.52268598952098","91.52330308831475","375.5","368","383","85.83252898844731","85.73044517546931","85.93593855107085"
"49","391.5","384","399","85.41109394392791","85.30715138384039","85.5156513233574","391.5","384","399","91.5251022380078","91.5246126311166","91.52573133141586","391.5","384","399","85.3912216656825","85.28708750852506","85.49597018105644"
"51","407.5","400","415","84.96481565963397","84.85944091025672","85.07112531101002","407.5","400","415","91.5274026744567","91.52682365155688","91.52811452082922","407.5","400","415","84.94409134669925","84.83850359314185","85.05061085083905"
"53","423.5","416","431","84.51571277595791","84.41063560229463","84.62176985110877","423.5","416","431","91.52901759416537","91.5285266210448","91.52950914802595","423.5","416","431","84.49410079035539","84.38881246626447","84.60036939944861"
"55","439.5","432","447","84.06869445843003","83.96427250015003","84.17374503395774","439.5","432","447","91.52972397245436","91.52941388201229","91.53003306468771","439.5","432","447","84.04620333058617","83.94158105264162","84.15145633870905"
"57","455.5","448","463","83.6239577205035","83.51911605291768","83.72968947260003","455.5","448","463","91.53031978660974","91.5298935655962","91.5308899781722","455.5","448","463","83.60060607297012","83.49556085284088","83.70654534457023"
"59","471.5","464","479","83.17788585844517","83.07474655453679","83.28215982146182","471.5","464","479","91.53310949439988","91.53274455312955","91.53330358268076","471.5","464","479","83.15367722907091","83.05034180005723","83.2581483549991"
"61","487.5","480","495","82.73935720016608","82.63672893535718","82.84237464529569","487.5","480","495","91.53315276946678","91.53298754988582","91.53350826998651","487.5","480","495","82.714321819905","82.61150235388763","82.81752634048462"
"63","503.5","496","511","82.30533806585309","82.20374523323186","82.40771371599227","503.5","496","511","91.5328389522824","91.53247633632512","91.53319386233332","503.5","496","511","82.27950416093758","82.17772219630864","82.38206500855703"
"65","519.5","512","527","81.87246136228913","81.77193492871325","81.97349650309636","519.5","512","527","91.53441277400745","91.5340641618685","91.5350536545306","519.5","512","527","81.84582906161803","81.74511786004378","81.94705501703116"
"67","535.5","528","543","81.44616494819459","81.34708417174788","81.54693826276865","535.5","528","543","91.53591132510516","91.53514361025682","91.53633381581241","535.5","528","543","81.41873171785976","81.31945965722163","81.51969333904893"
"69","551.5","544","559","81.02439310117576","80.92731308787928","81.12423247876374","551.5","544","559","91.53805423291062","91.53688589040785","91.53868147503634","551.5","544","559","80.99612927866828","80.89885074864337","81.09616542208022"
"71","567.5","560","575","80.6113972821883","80.51515525201421","80.707942351489","567.5","560","575","91.53930389177546","91.53907919263506","91.53964712638424","567.5","560","575","80.58226899415509","80.48581979918956","80.67902709396792"
"73","583.5","576","591","80.20304670911312","80.10952875519443","80.29809075185698","583.5","576","591","91.54162094518934","91.54125645389296","91.54188544096289","583.5","576","591","80.17299947384717","80.07926217318588","80.26826163514019"
"75","599.5","592","607","79.80252283011613","79.70963493943705","79.89663937886556","599.5","592","607","91.54286296101061","91.54211767196655","91.5435503673161","599.5","592","607","79.77150555277062","79.67838156743305","79.86585762023925"
"77","615.5","608","623","79.40802143024723","79.31780028171126","79.49899410891842","615.5","608","623","91.54459823454505","91.5443335611914","91.54487043831341","615.5","608","623","79.37596199262136","79.28549447017569","79.46718511952983"
"79","631.5","624","639","79.02007141960132","78.92952587196284","79.11147680161875","631.5","624","639","91.54604162104313","91.54534207718282","91.54673387111399","631.5","624","639","78.98690949407147","78.89609386214434","79.07858554622796"
"81","647.5","640","655","78.63630996407535","78.54740589470649","78.72538923334193","647.5","640","655","91.54827339860422","91.54781660963778","91.54885535203773","647.5","640","655","78.60198278339956","78.51280133547809","78.69133758544922"
"83","663.5","656","671","78.25986139973274","78.17253662416141","78.34815055203725","663.5","656","671","91.54984292716497","91.54931613643696","91.55034756838121","663.5","656","671","78.22430775101463","78.13669031445694","78.31288751636643"
"85","679.5","672","687","77.88999740708608","77.8039200744629","77.9770369052887","679.5","672","687","91.55142285838483","91.5507177501348","91.5519923580786","679.5","672","687","77.85324454727335","77.76689301369407","77.94056124967688"
"87","695.5","688","703","77.52681125062983","77.44222173575568","77.61182801750884","695.5","688","703","91.55333308922339","91.5527314195674","91.554043648509","695.5","688","703","77.48895329146207","77.40413725960738","77.57421352671481"
"89","711.5","704","719","77.16937544389903","77.08651030900332","77.2525771280353","711.5","704","719","91.5558657867841","91.55536097087217","91.55630483614055","711.5","704","719","77.13057521523396","77.04748773475418","77.21399015523075"
"91","729.5","720","739","64.96660404690037","60.69989013671875","76.90076680497809","729.5","720","739","91.64239848974695","91.55681233877664","91.8935546875","729.5","720","739","64.89947245634637","60.62869644165039","76.86126897361252"
"93","747.5","740","755","60.90494019008911","60.89260320460543","60.95149576663971","747.5","740","755","91.59970808996691","91.58634643554687","91.61617099537568","747.5","740","755","60.82665995158285","60.81402238886407","60.87365388870239"
"95","763.5","756","771","60.70835477833531","60.65575534482546","60.76319646835327","763.5","756","771","91.60286593272228","91.59668944863712","91.60652170817058","763.5","756","771","60.62790967005553","60.57467298869845","60.68344873189926"
"97","779.5","772","787","60.495979775999274","60.45577590529983","60.53403925895691","779.5","772","787","91.6113832260674","91.61013171742263","91.61441960285619","779.5","772","787","60.41292420794651","60.37212145006335","60.45161636670431"
"99","795.5","788","803","60.31013681399759","60.25993781990105","60.36350762844086","795.5","788","803","91.61383384555265","91.61059308052063","91.61686108995984","795.5","788","803","60.22464201705729","60.1738871594409","60.278599083423615"
"101","811.5","804","819","60.106503965364226","60.06482169015067","60.15465292930603","811.5","804","819","91.62470261464554","91.62067556381226","91.62693564836368","811.5","804","819","60.019217093436865","59.97722170148577","60.06766145229339"
"103","827.5","820","835","59.938178149962944","59.89406051267172","59.98180764913559","827.5","820","835","91.62404950239664","91.62120959942158","91.627586625262","827.5","820","835","59.849905495925405","59.80565814695497","59.89370105663935"
"105","843.5","836","851","59.76635045683502","59.72631010749849","59.8034998859678","843.5","836","851","91.62849392256841","91.6274436051148","91.63042839401437","843.5","836","851","59.67769767373407","59.63759577922741","59.71491471358708"
"107","859.5","852","867","59.59413157201521","59.55869274913605","59.63079400360584","859.5","852","867","91.63508633538937","91.63426568694274","91.63570054861215","859.5","852","867","59.50535354709234","59.46989787196761","59.54201762378216"
"109","875.5","868","883","59.43100987743809","59.398404703675325","59.46898345152537","875.5","868","883","91.63813757238772","91.63671196538272","91.63936969845794","875.5","868","883","59.342317905824956","59.309797318461705","59.38020418749915"
