"global_step","Group: general-distillation - _step","Group: general-distillation - _step__MIN","Group: general-distillation - _step__MAX","Group: general-distillation - loss","Group: general-distillation - loss__MIN","Group: general-distillation - loss__MAX","Group: general-distillation-attn - _step","Group: general-distillation-attn - _step__MIN","Group: general-distillation-attn - _step__MAX","Group: general-distillation-attn - loss","Group: general-distillation-attn - loss__MIN","Group: general-distillation-attn - loss__MAX","Group: general-distillation-rep - _step","Group: general-distillation-rep - _step__MIN","Group: general-distillation-rep - _step__MAX","Group: general-distillation-rep - loss","Group: general-distillation-rep - loss__MIN","Group: general-distillation-rep - loss__MAX"
"43","343.5","336","351","5.804847960591029","5.798403995644147","5.811389468437017","343.5","336","351","0.38041367876635424","0.3800708983056406","0.38077194364958034","343.5","336","351","5.418196873192432","5.412108037414117","5.424367416043614"
"45","359.5","352","367","5.776240897997614","5.769547088129991","5.782938961850272","359.5","352","367","0.3784476127247922","0.3780304142407009","0.3788434626327621","359.5","352","367","5.391612415094315","5.385350035323578","5.397900314463509"
"47","375.5","368","383","5.747446077794429","5.740624528509386","5.754335879645449","375.5","368","383","0.37680270754069006","0.37638176859124545","0.37720885163450496","375.5","368","383","5.364533061777957","5.358152823466832","5.370996159441928"
"49","391.5","384","399","5.718089354154365","5.711136287383651","5.725051502183992","391.5","384","399","0.3751179205094422","0.37469627572985853","0.37550983920085185","391.5","384","399","5.336951354105156","5.330442969282816","5.343498136316027"
"51","407.5","400","415","5.688293552921797","5.6812435665429","5.695390270621169","407.5","400","415","0.37338288658899876","0.37296083049510215","0.3737927335223146","407.5","400","415","5.309005709168703","5.302406474571366","5.315663178177441"
"53","423.5","416","431","5.658527502769641","5.651578323589692","5.665521059396132","423.5","416","431","0.371868382752714","0.3715301480312613","0.3721888267066119","423.5","416","431","5.280881299397212","5.274300779141529","5.287523087465538"
"55","439.5","432","447","5.629100324028282","5.622245735829103","5.635958911072124","439.5","432","447","0.37056501422457583","0.3702788276046348","0.37081489583308047","439.5","432","447","5.252887708161635","5.2463488157901015","5.259466021169316"
"57","455.5","448","463","5.599700690091913","5.592733013848528","5.606724463533937","455.5","448","463","0.36913744111115243","0.36876099137940965","0.36951352809474136","455.5","448","463","5.225037879560633","5.218472553302555","5.231659084035639"
"59","471.5","464","479","5.5702526628333136","5.5634871876649985","5.577083319425583","471.5","464","479","0.3677309994804522","0.3674480383972928","0.3680078597518347","471.5","464","479","5.197104826816932","5.190646362503577","5.203634272187443"
"61","487.5","480","495","5.541398747902939","5.534623503083538","5.5481237241479215","487.5","480","495","0.3664368095243328","0.36610908837900635","0.3666883863081209","487.5","480","495","5.169645113744062","5.163218897117977","5.176095396280289"
"63","503.5","496","511","5.512935404696939","5.506233642294726","5.519657513451954","503.5","496","511","0.3652404990962041","0.36491876642491927","0.3655323949716394","503.5","496","511","5.142469010058599","5.13610763726929","5.148879063034815"
"65","519.5","512","527","5.484366380563477","5.477725467862676","5.491015471861913","519.5","512","527","0.36384959346553786","0.3635176368516768","0.36415787293360785","519.5","512","527","5.115364316351127","5.109069866252736","5.121690938564448"
"67","535.5","528","543","5.456298504515524","5.449771227919957","5.462957579698136","535.5","528","543","0.36252595251106057","0.3622119606308906","0.3628660394017821","535.5","528","543","5.088670732366235","5.082466228576352","5.094980833690558"
"69","551.5","544","559","5.428406605164105","5.421997470872758","5.435045974842017","551.5","544","559","0.36107324854290856","0.3607478562586003","0.3614562023161114","551.5","544","559","5.062258079916767","5.056178171790211","5.068510338880014"
"71","567.5","560","575","5.401178349282714","5.394865328907241","5.4075434463964385","567.5","560","575","0.3597170272279965","0.3594314496119472","0.3600356720230529","567.5","560","575","5.036391812134693","5.030363737449347","5.042439193372995"
"73","583.5","576","591","5.37422494256532","5.368090587254812","5.380453857248777","583.5","576","591","0.3583303131391016","0.35804932109148746","0.3586101132789499","583.5","576","591","5.010812467115448","5.004953885824118","5.016766352196262"
"75","599.5","592","607","5.347938488139587","5.34180907378962","5.354143705368042","599.5","592","607","0.3571046119417371","0.3567850352437408","0.35742274673034746","599.5","592","607","4.985719097048164","4.979898847964566","4.991616101264953"
"77","615.5","608","623","5.321956013861816","5.316114760248204","5.32787888351973","615.5","608","623","0.35578650277013285","0.3555834517181637","0.35602419541592334","615.5","608","623","4.960997624538835","4.955343404385981","4.966699069970614"
"79","631.5","624","639","5.29651148069322","5.290547436527016","5.302551238974439","631.5","624","639","0.3545800226855152","0.354271021564553","0.35491063159336395","631.5","624","639","4.936681843379467","4.931005866384021","4.942411596639247"
"81","647.5","640","655","5.271359335627575","5.265516340778039","5.277185402166697","647.5","640","655","0.35338891596218924","0.353095134519876","0.35365499637699055","647.5","640","655","4.912623923962473","4.9070500834673805","4.918208599090576"
"83","663.5","656","671","5.246566321333686","5.24081441029984","5.252397805452347","663.5","656","671","0.3520870631429304","0.3517826932162734","0.3524105876841279","663.5","656","671","4.889019234438415","4.883543144653559","4.894555469772902"
"85","679.5","672","687","5.222319268700153","5.216663163618608","5.228034985416076","679.5","672","687","0.35090510796633856","0.3506164012713866","0.35119366405860464","679.5","672","687","4.865827784204584","4.86043081335588","4.871285078104805"
