"global_step","Group: general-distillation - _step","Group: general-distillation - _step__MIN","Group: general-distillation - _step__MAX","Group: general-distillation - att_loss","Group: general-distillation - att_loss__MIN","Group: general-distillation - att_loss__MAX","Group: general-distillation-attn - _step","Group: general-distillation-attn - _step__MIN","Group: general-distillation-attn - _step__MAX","Group: general-distillation-attn - att_loss","Group: general-distillation-attn - att_loss__MIN","Group: general-distillation-attn - att_loss__MAX","Group: general-distillation-rep - _step","Group: general-distillation-rep - _step__MIN","Group: general-distillation-rep - _step__MAX","Group: general-distillation-rep - att_loss","Group: general-distillation-rep - att_loss__MIN","Group: general-distillation-rep - att_loss__MAX"
"95","763.5","756","771","4.986678159972547","4.981543598175048","4.995425694129047","763.5","756","771","4.867058693641183","4.861623522440593","4.875936381957111","763.5","756","771","10.868017653926389","10.799465954303741","10.915106736696684"
"97","779.5","772","787","4.96589537193752","4.958697731678303","4.97620445728302","779.5","772","787","4.844151656079994","4.837016587073986","4.854578056335449","779.5","772","787","11.071346318843316","11.018928120533625","11.116696400685353"
"99","795.5","788","803","4.957661657359526","4.954331457614899","4.961544983146727","795.5","788","803","4.8335334168380015","4.83025577138452","4.837825934092204","795.5","788","803","11.306324794300766","11.245426006615162","11.365971978727755"
"101","811.5","804","819","4.950086604324742","4.943987053560924","4.956547501683235","811.5","804","819","4.823254050708242","4.817404377891357","4.830249017477035","811.5","804","819","11.55600848290138","11.505084836483002","11.62997358594622"
"103","827.5","820","835","4.958573304684987","4.952070271096578","4.9632772231588556","827.5","820","835","4.828656791408264","4.821756908370228","4.833618306383794","827.5","820","835","11.853355885291823","11.790210574865341","11.909277123529554"
"105","843.5","836","851","4.948326932740716","4.946296702040002","4.950028354375898","843.5","836","851","4.81559944098944","4.813310910285788","4.8176811665690416","843.5","836","851","12.12233101426859","12.044093889849526","12.197268897020667"
"107","859.5","852","867","4.943066238628498","4.941003652862074","4.9447898402142885","859.5","852","867","4.807456049317185","4.806058307566068","4.808711755631575","859.5","852","867","12.43012358019696","12.347757425159216","12.508930512459955"
"109","875.5","868","883","4.936173163157568","4.931469308267726","4.940359062802008","875.5","868","883","4.797651136388744","4.792390422852519","4.802344786667081","875.5","868","883","12.750276477625093","12.675843483871883","12.815064027364498"
"111","891.5","884","899","4.927216104804087","4.9246616819011635","4.928977708518505","891.5","884","899","4.785817192588611","4.782578022088577","4.788306606560946","891.5","884","899","13.085946242996709","12.998932418227195","13.166284683569154"
"113","907.5","900","915","4.923113994949767","4.920815594288525","4.926999791101976","907.5","900","915","4.778684730385809","4.775832665422575","4.783214301548221","907.5","900","915","13.462924899356752","13.3804680027745","13.549353160390412"
"115","923.5","916","931","4.917255000236617","4.914975232344407","4.921895143583224","923.5","916","931","4.7698093934000045","4.766918123216557","4.774962324291081","923.5","916","931","13.844028808511737","13.761158789197603","13.93150986645156"
"117","939.5","932","947","4.908927270302463","4.9075542066899525","4.911245900664112","939.5","932","947","4.7583989038182475","4.756474274217115","4.761303358926223","939.5","932","947","14.231354175010582","14.138882575126795","14.323064401365489"
"119","955.5","948","963","4.9067634702016285","4.904710400369432","4.90880192874314","955.5","948","963","4.752982442570091","4.751545809110006","4.7542783589590165","955.5","948","963","14.65633084908982","14.549926710980278","14.762823174890638"
"121","971.5","964","979","4.904132844996751","4.901681854174687","4.907527389625709","971.5","964","979","4.7470508680295","4.743893918124113","4.751140336692333","971.5","964","979","15.075846806399628","14.987953945000966","15.165399559098061"
"123","987.5","980","995","4.900496816687929","4.899271306250859","4.901806152296699","987.5","980","995","4.740077674215893","4.739211307503499","4.741249416023493","987.5","980","995","15.488212193586191","15.385415196418762","15.595232889367235"
"125","1003.5","996","1011","4.901538592797755","4.899718883435645","4.903762406602912","1003.5","996","1011","4.737602756160053","4.735262994492289","4.740457493668303","1003.5","996","1011","15.920800291362175","15.825734773102928","16.01975113420026"
"127","1019.5","1012","1027","4.898745502843498","4.897980380669618","4.899597247579106","1019.5","1012","1027","4.731434621447115","4.730537261718359","4.733051665541199","1019.5","1012","1027","16.34414364470874","16.242900143067043","16.449033814638398"
"129","1035.5","1028","1043","4.894846064860701","4.893262702775629","4.89613729227412","1035.5","1028","1043","4.72408593725615","4.723404200845643","4.7245742138991735","1035.5","1028","1043","16.75795681052534","16.648308145372493","16.86562529574619"
"131","1051.5","1044","1059","4.893690545296402","4.892903005912512","4.895692578703165","1051.5","1044","1059","4.719417359393929","4.718068611749646","4.722157550230622","1051.5","1044","1059","17.17412100121755","17.08363929986954","17.272189561101317"
"133","1067.5","1060","1075","4.892246604585347","4.89109093923597","4.893600398623093","1067.5","1060","1075","4.714499878034031","4.713973207360559","4.7149400405661686","1067.5","1060","1075","17.579574457907036","17.482351745877946","17.68226028009273"
"135","1083.5","1076","1091","4.8941189878915905","4.892953812161583","4.8952447261248535","1083.5","1076","1091","4.712573044909652","4.710824732999922","4.713473873950066","1083.5","1076","1091","18.00432635156977","17.90885640545325","18.09460080217088"
"137","1099.5","1092","1107","4.892333389148926","4.8913980819083545","4.89306585258555","1099.5","1092","1107","4.707140570376887","4.706657221106358","4.708189946825501","1099.5","1092","1107","18.404602967617077","18.311172034429468","18.49990162043057"
"139","1115.5","1108","1123","4.89005074613752","4.88870350987902","4.89096876623717","1115.5","1108","1123","4.701278670798569","4.699353942492555","4.703020481392741","1115.5","1108","1123","18.77819253883344","18.693535496791203","18.859017877590915"
"141","1131.5","1124","1139","4.8864550642451166","4.885188453027599","4.887608215583498","1131.5","1124","1139","4.6941508641357865","4.692201022141103","4.695644712270195","1131.5","1124","1139","19.128049498372324","19.04579089641571","19.205248597501978"
"143","1147.5","1140","1155","4.880634696122247","4.879875087287127","4.882641086784693","1147.5","1140","1155","4.684856503316462","4.683372636777007","4.687649569832361","1147.5","1140","1155","19.450321073989496","19.379442632198334","19.527869088309153"
"145","1163.5","1156","1171","4.876492607608603","4.875548591114691","4.877495426186768","1163.5","1156","1171","4.677131465363184","4.675352035257732","4.678511962053682","1163.5","1156","1171","19.77598389362852","19.69830682321831","19.85234786978625"
"147","1179.5","1172","1187","4.872403073668485","4.870444427075684","4.874339387885162","1179.5","1172","1187","4.669447626021808","4.666724000097499","4.67216989451221","1179.5","1172","1187","20.08733635553828","20.024044330630982","20.15072551019629"
"149","1195.5","1188","1203","4.8681285238149","4.866802647837207","4.869778346194133","1195.5","1188","1203","4.661742493826821","4.6604158992950735","4.6642029586023295","1195.5","1188","1203","20.376306678815723","20.3113045199164","20.44817867865618"
"151","1211.5","1204","1219","4.866242733135228","4.865859519149258","4.866529528051615","1211.5","1204","1219","4.656176984068143","4.655012665039454","4.657343552261591","1211.5","1204","1219","20.668658483322567","20.599917795260748","20.737931248591497"
"153","1227.5","1220","1235","4.863160209365139","4.861796080413742","4.864431805427997","1227.5","1220","1235","4.6495703668226955","4.647514164033452","4.651614646036779","1227.5","1220","1235","20.936127871402302","20.87976320135978","20.993714606276573"
"155","1243.5","1236","1251","4.858462632573466","4.8579788003780155","4.858801979401095","1243.5","1236","1251","4.641431952394992","4.640127591609496","4.642272265535483","1243.5","1236","1251","21.181222517929854","21.121136451140046","21.23631186572489"
"157","1259.5","1252","1267","4.857627935622801","4.856533679641595","4.858293997578526","1259.5","1252","1267","4.636919406828478","4.634993425604342","4.638072970010474","1259.5","1252","1267","21.421454849119687","21.365263388012394","21.47098894947383"
"159","1275.5","1268","1283","4.854820450510729","4.854278793977107","4.855663456754798","1275.5","1268","1283","4.630557450700892","4.629390097701971","4.632102973533399","1275.5","1268","1283","21.64708064977428","21.596510934479095","21.698319027884267"
"161","1291.5","1284","1299","4.852794600429159","4.852151738155866","4.853602853504972","1291.5","1284","1299","4.625032463194431","4.623794856580716","4.626462614749159","1291.5","1284","1299","21.85934172426235","21.811785319873266","21.906084800081633"
"163","1307.5","1300","1315","4.849622107008496","4.847990188345083","4.850984101076283","1307.5","1300","1315","4.618361806219069","4.616033212895463","4.620407662871811","1307.5","1300","1315","22.051376816399657","22.012609041399426","22.08834889370249"
"165","1323.5","1316","1331","4.843669982408317","4.843362461147404","4.8440952313107415","1323.5","1316","1331","4.609096038223328","4.608048099592589","4.61036693586691","1323.5","1316","1331","22.205667987672307","22.16503409115044","22.246384492608485"
"167","1339.5","1332","1347","4.840783944728684","4.839919362196004","4.84175711164349","1339.5","1332","1347","4.602755659796657","4.601085290203823","4.604515628202965","1339.5","1332","1347","22.36486882776916","22.329988830967952","22.40067627176243"
"169","1355.5","1348","1363","4.837733683056174","4.836572547800845","4.838641118431092","1355.5","1348","1363","4.596259805835618","4.594320764262244","4.597732647107198","1355.5","1348","1363","22.51009180713524","22.477435579666725","22.540386479333197"
"171","1371.5","1364","1379","4.834565464741066","4.833737681416861","4.835360611602664","1371.5","1364","1379","4.589681399095484","4.588186594581309","4.5912707187235355","1371.5","1364","1379","22.637457154514667","22.610254742205143","22.662792521001748"
